time,opening_price,closing_price,high,low,volume,opening_price_log_return,closing_price_log_return,high_log_return,low_log_return
1701212400000,37883.04871131336,37934.73576208721,37708.10900329061,37836.20789841525,435276817.6063659,-0.002442059481654963,-0.0032145458933733016,-0.003314796651507874,-0.0010232452589858832
1701216000000,37836.74262924637,37934.44235839689,37697.12425151497,37932.562877682845,308441910.63814527,-0.0012230907407378975,-7.734463390673939e-06,-0.00029135250642939667,0.0025433969753748185
1701219600000,37939.15877323914,38083.70263070201,37939.15877323914,37958.89513160255,370230943.32332194,0.0027031339636885564,0.003926969387097419,0.006399979961567327,0.0006939451597620894
1701223200000,37960.21222227169,38000.45535449561,37862.975298087076,37959.900268839985,272779997.74381745,0.000554772702234177,-0.0021882954778229312,-0.002010062163448795,2.6479272548930102e-05
1701226800000,37954.21955264149,38028.229947121,37923.47142868937,37960.459503336075,211670043.64329258,-0.00015787958896723578,0.0007306345953708913,0.0015964897699893433,1.473213503664802e-05
1701230400000,37964.00484629746,37971.32340271437,37884.57756137255,37956.91633397246,158162205.12196758,0.0002577851046341951,-0.0014975497232155295,-0.0010261145418627056,-9.334277764759285e-05
1701234000000,37960.49023732753,38057.43341843357,37922.183056837996,38057.43341843357,170848945.85252824,-9.258168838833725e-05,0.0022651969107376105,0.0009921410239271534,0.002644688624618279
1701237600000,38059.43755966265,38217.58044846903,37995.914463492896,38193.63717031412,336649498.8811179,0.0026031957956283024,0.004199206456836006,0.0019423940336989174,0.0035725110661670146
1701241200000,38190.50991630679,38198.2874510631,38064.382556499884,38119.7747830496,304874564.4979498,0.0034379692074589306,-0.0005049474237791737,0.001800364031785327,-0.0019357648528236704
1701244800000,38118.68774007505,38368.720891251985,38118.68774007505,38344.985356922996,397989092.58987856,-0.0018823994916893573,0.004451884052089486,0.0014256498868213878,0.005890588675791494
1701248400000,38351.371413292596,38351.88886240853,38161.12160519319,38301.383249421364,630104230.4718819,0.006085633878463467,-0.00043878767824093883,0.0011125845714500154,-0.0011377476323513583
1701252000000,38302.863776705475,38302.863776705475,37942.37153065386,37989.19737733885,561056877.260297,-0.0012656219957539,-0.0012791142283938887,-0.00574876836710737,-0.008184171939726379
1701255600000,37986.7645285256,38175.62712203967,37939.07923060368,38127.26192801383,346367862.7825013,-0.00828686845474471,-0.0033273871009305224,-8.677483150921639e-05,0.00362772265946176
1701259200000,38125.696484176704,38288.43847628654,38076.65896319228,38191.0882884366,380366487.417443,0.0036507060238394327,0.002950704627459645,0.0036197736437337787,0.001672635090312515
1701262800000,38195.59586273236,38276.99854979541,38134.62368673523,38148.77518854922,344070058.9585554,0.0018317142163074146,-0.00029882743495239836,0.0015211588810640604,-0.0011085454517024524
1701266400000,38144.6107049645,38198.22189643164,37819.26051848982,37841.094412764374,634451573.5914488,-0.001335735587858288,-0.002060188405270607,-0.008304117262396157,-0.008097986186989266
1701270000000,37838.82977885981,37891.95626530763,37611.44454506237,37831.78698144981,758603617.5600168,-0.008048663626925443,-0.008050113496017036,-0.005510130100283947,-0.0002459911976394491
1701273600000,37840.494904596155,37881.6010217784,37658.90578141619,37779.73203357708,454571318.6503401,4.400477260020753e-05,-0.0002733207721649024,0.00126108733220807,-0.0013769054444336174
1701277200000,37775.4160188569,37851.793267724555,37680.82751100816,37790.48864111064,271360258.55469894,-0.0017213018004516023,-0.0007871760106006857,0.0005819433983272678,0.00028467847546757836
1701280800000,37794.09614268486,37860.52661950605,37691.56276965323,37860.52661950605,269971104.6693034,0.0004943825538664361,0.00023069830202628283,0.0002848591819281983,0.0018516076265274082
1701284400000,37862.16320790367,37924.05244195739,37800.057967601395,37880.832592485654,257264489.94160244,0.0017993774518719106,0.0016764845333147472,0.002874365965052715,0.0005361924760097454
1701288000000,37885.273152885624,37894.17026566604,37653.6273394523,37666.55251151698,382355799.4654822,0.0006101842335339737,-0.0007882584627145352,-0.0038813428762940728,-0.00567274844264867
1701291600000,37669.34207375607,37788.802983054935,37618.138058225195,37735.13776442854,290045418.0488469,-0.005715909382451854,-0.0027844400441774833,-0.0009429640362308441,0.001819197197720067
1701295200000,37733.46821851526,37839.79149183656,37733.46821851526,37796.517209034944,124318305.28364676,0.0017008957615935833,0.001348392545467591,0.003061122543948113,0.0016252644838522527
1701298800000,37798.3183482054,37873.815863368116,37740.96297082374,37866.53747696811,199477381.16390535,0.0017171617029831077,0.0008987650968017745,0.00019860374473862022,0.001850844859815764
1701302400000,37864.009934728754,37866.16800265665,37775.09120753692,37791.53194822446,220765706.56985283,0.001736441489983377,-0.00020195041897531535,0.0009038671156219214,-0.0019827509183340786
1701306000000,37786.11013487067,37819.22812658739,37716.03389454613,37721.80276003238,167513144.60566163,-0.0020594766358700304,-0.0012403946993285837,-0.0015646163693741684,-0.0018468051577960997
